1000	spooky wardrobe
2212	bumbershoot
2213	sunny parasol
2214	batbrella
2215	checked umbrella
2216	yellow umbrella
2217	leaf umbrella
2218	lotus parasol
2219	paper parasol
221A	polka parasol
221B	sharp umbrella
221C	twig parasol
221D	noodle parasol
221E	hypno parasol
221F	pastel parasol
2220	retro umbrella
2221	icy umbrella
2222	blue umbrella
2223	flame umbrella
2224	pattern umbrella equipped 1
2225	pattern umbrella equipped 2
2226	pattern umbrella equipped 3
2227	pattern umbrella equipped 4
2228	pattern umbrella equipped 5
2229	pattern umbrella equipped 6
222A	pattern umbrella equipped 7
222B	pattern umbrella equipped 8
222C	sickle
222D	red paint
222E	orange paint
222F	yellow paint
2230	pale green paint
2231	green paint
2232	sky blue paint
2233	blue paint
2234	purple paint
2235	pink paint
2236	black paint
2237	white paint
2238	brown paint
2239	golden net
223A	golden axe
223B	golden shovel
223C	golden rod
223D	cracked axe (stage 2)
223E	cracked axe (stage 3)
223F	cracked axe (stage 4)
2240	damaged axe (stage 5)
2241	damaged axe (stage 6)
2242	damaged axe (stage 7)
2243	damaged axe (stage 8)
2244	red balloon
2245	yellow balloon
2246	blue balloon
2247	green balloon
2248	purple balloon
2249	Bunny P. balloon
224A	Bunny B. balloon
224B	Bunny O. balloon
224C	yellow pinwheel
224D	red pinwheel
224E	tiger pinwheel
224F	green pinwheel
2250	pink pinwheel
2251	striped pinwheel
2252	flower pinwheel
2253	fancy pinwheel
2254	bluebell fan
2255	plum fan
2256	bamboo fan
2257	cloud fan
2258	maple fan
2259	fan fan
225A	flower fan
225B	leaf fan
2300	crucian carp
2301	herabuna
2302	carp
2303	koi
2304	catfish
2305	small bass
2306	bass
2307	large bass
2308	bluegill
2309	giant catfish
230A	giant snakehead
230B	barbel steed
230C	dace
230D	pale chub
230E	bitterling
230F	loach
2310	pond smelt
2311	sweetfish
2312	cherry salmon
2313	large char
2314	rainbow trout
2315	stringfish
2316	salmon
2317	goldfish
2318	piranha
2319	arowana
231A	eel
231B	freshwater goby
231C	angelfish
231D	guppy
231E	popeyed goldfish
231F	coelacanth
2320	crawfish
2321	frog
2322	killifish
2323	jellyfish
2324	sea bass
2325	red snapper
2326	barred knifejaw
2327	arapaima
2400	flame shirt
2401	paw shirt
2402	wavy pink shirt
2403	future shirt
2404	bold check shirt
2405	mint gingham
2406	bad plaid shirt
2407	speedway shirt
2408	folk shirt
2409	daisy shirt
240A	wavy tan shirt
240B	optical shirt
240C	rugby shirt
240D	sherbet gingham
240E	yellow tartan
240F	gelato shirt
2410	work uniform
2411	patched shirt
2412	plum kimono
2413	somber robe
2414	red sweatsuit
2415	blue sweatsuit
2416	red puffy vest
2417	blue puffy vest
2418	summer robe
2419	bamboo robe
241A	red aloha shirt
241B	blue aloha shirt
241C	dark polka shirt
241D	lite polka shirt
241E	lovely shirt
241F	citrus shirt
2420	kiwi shirt
2421	watermelon shirt
2422	strawberry shirt
2423	grape shirt
2424	melon shirt
2425	Jingle shirt
2426	blossom shirt
2427	icy shirt
2428	crewel shirt
2429	tropical shirt
242A	ribbon shirt
242B	fall plaid shirt
242C	fiendish shirt
242D	chevron shirt
242E	ladybug shirt
242F	botanical shirt
2430	Anju's shirt
2431	Kaffe's shirt
2432	lavender robe
2433	blue grid shirt
2434	butterfly shirt
2435	blue tartan
2436	Gracie's top
2437	orange tie-dye
2438	purple tie-dye
2439	green tie-dye
243A	blue tie-dye
243B	red tie-dye
243C	one-ball shirt
243D	two-ball shirt
243E	three-ball shirt
243F	four-ball shirt
2440	five-ball shirt
2441	six-ball shirt
2442	seven-ball shirt
2443	eight-ball shirt
2444	nine-ball shirt
2445	arctic camo
2446	jungle camo
2447	desert camo
2448	rally shirt
2449	racer shirt
244A	racer 6 shirt
244B	tomato juice shirt
244C	spiderweb shirt
244D	zipper shirt
244E	bubble shirt
244F	yellow bolero
2450	nebula shirt
2451	neo-classic knit
2452	noble shirt
2453	turnip top
2454	oft-seen print
2455	ski sweater
2456	circus shirt
2457	patchwork top
2458	mod top
2459	hippie shirt
245A	rickrack shirt
245B	diner uniform
245C	shirt circuit
245D	U R here shirt
245E	yodel shirt
245F	pulse shirt
2460	prism shirt
2461	star shirt
2462	straw shirt
2463	noodle shirt
2464	dice shirt
2465	kiddie shirt
2466	frog shirt
2467	moody blue shirt
2468	cloudy shirt
2469	familiar shirt
246A	skull shirt
246B	desert shirt
246C	aurora knit
246D	winter sweater
246E	go-go shirt
246F	jade check print
2470	blue check print
2471	red grid shirt
2472	flicker shirt
2473	floral knit
2474	rose shirt
2475	sunset top
2476	chain-gang shirt
2477	spring shirt
2478	bear shirt
2479	MVP shirt
247A	silk bloom shirt
247B	pop bloom shirt
247C	loud bloom shirt
247D	hot spring shirt
247E	new spring shirt
247F	deep blue tee
2480	snowcone shirt
2481	ugly shirt
2482	sharp outfit
2483	painter's smock
2484	spade shirt
2485	blossoming shirt
2486	peachy shirt
2487	static shirt
2488	rainbow shirt
2489	groovy shirt
248A	loud line shirt
248B	dazed shirt
248C	red bar shirt
248D	blue stripe knit
248E	earthy knit
248F	spunky knit
2490	deer shirt
2491	blue check shirt
2492	light line shirt
2493	blue pinstripe
2494	diamond shirt
2495	lime line shirt
2496	big bro's shirt
2497	green bar shirt
2498	yellow bar shirt
2499	monkey shirt
249A	polar fleece
249B	ancient knit
249C	fish knit
249D	vertigo shirt
249E	misty shirt
249F	stormy shirt
24A0	red scale shirt
24A1	blue scale shirt
24A2	heart shirt
24A3	yellow pinstripe
24A4	club shirt
24A5	li'l bro's shirt
24A6	argyle knit
24A7	caveman tunic
24A8	café shirt
24A9	tiki shirt
24AA	A shirt
24AB	checkered shirt
24AC	No.1 shirt
24AD	No.2 shirt
24AE	No.3 shirt
24AF	No.4 shirt
24B0	No.5 shirt
24B1	No.23 shirt
24B2	No.67 shirt
24B3	BB shirt
24B4	beatnik shirt
24B5	moldy shirt
24B6	W shirt
24B7	big star shirt
24B8	orange pinstripe
24B9	twinkle shirt
24BA	funky dot shirt
24BB	crossing shirt
24BC	splendid shirt
24BD	jagged shirt
24BE	denim shirt
24BF	I love GC shirt
24C0	gumdrop shirt
24C1	barber shirt
24C2	concierge shirt
24C3	fresh shirt
24C4	far-out shirt
24C5	dawn shirt
24C6	striking outfit
24C7	red check shirt
24C8	berry gingham
24C9	lemon gingham
24CA	dragon suit
24CB	G logo shirt
24CC	tin shirt
24CD	jester shirt
24CE	pink tartan
24CF	waffle shirt
24D0	gray tartan
24D1	windsock shirt
24D2	trendy top
24D3	green ring shirt
24D4	white ring shirt
24D5	snappy print
24D6	chichi print
24D7	wave print
24D8	checkerboard tee
24D9	subdued print
24DA	airy shirt
24DB	coral shirt
24DC	leather jerkin
24DD	zebra print
24DE	tiger print
24DF	cow print
24E0	leopard print
24E1	danger shirt
24E2	big dot shirt
24E3	puzzling shirt
24E4	exotic shirt
24E5	houndstooth knit
24E6	uncommon shirt
24E7	dapper shirt
24E8	gaudy sweater
24E9	cozy sweater
24EA	comfy sweater
24EB	classic top
24EC	vogue top
24ED	laced shirt
24EE	natty shirt
24EF	citrus gingham
24F0	cool shirt
24F1	dreamy shirt
24F2	flowery shirt
24F3	caterpillar tee
24F4	shortcake shirt
24F5	whirly shirt
24F6	thunder shirt
24F7	giraffe print
24F8	swell shirt
24F9	toad print
24FA	grass shirt
24FB	mosaic shirt
24FC	fetching outfit
24FD	snow shirt
24FE	melon gingham
24FF	mannequin shirt
2500	unused quest map
2501	quest clothes
2502	quest money
2503	videotape
2504	organizer
2505	Pokémon Pikachu
2506	comic book
2507	picture book
2508	Game Boy
2509	camera
250A	watch
250B	handkerchief
250C	glasses case
250D	money1000Bell
250E	empty can
250F	boot
2510	old tire
2511	fossil
2512	pitfall
2513	Fortune Slip
2514	lions paw
2515	wentletrap
2516	venus comb
2517	porceletta
2518	sand dollar
2519	white scallop
251A	conch
251B	coral
251C	Present (random item)
251D	nook's tutorial map
251E	sign board
251F	Present (golden net)
2520	Present (golden axe)
2521	Present (golden shovel)
2522	Present (golden rod)
2523	exercise card
2524	exercise card (1)
2525	exercise card (2)
2526	exercise card (3)
2527	exercise card (4)
2528	exercise card (5)
2529	exercise card (6)
252A	exercise card (7)
252B	exercise card (8)
252C	exercise card (9)
252D	exercise card (10)
252E	exercise card (11)
252F	exercise card (12)
2530	knife and fork
2600	plush carpet
2601	classic carpet
2602	checkered tile
2603	old flooring
2604	red tile
2605	birch flooring
2606	classroom floor
2607	lovely carpet
2608	exotic rug
2609	mossy carpet
260A	18 mat tatami
260B	8 mat tatami
260C	citrus carpet
260D	cabin rug
260E	closed road
260F	lunar surface
2610	sand garden
2611	spooky carpet
2612	bathhouse tile floor
2613	green rug
2614	blue flooring
2615	regal carpet
2616	ranch flooring
2617	modern tile
2618	cabana flooring
2619	Snowman carpet
261A	old board floor
261B	music room floor
261C	plaza tile
261D	kitchen tile
261E	ornate rug
261F	tatami floor
2620	bamboo flooring
2621	kitchen flooring
2622	charcoal tile
2623	stone tile
2624	imperial tile
2625	opulent rug
2626	slate flooring
2627	ceramic tile
2628	fancy carpet
2629	cowhide rug
262A	steel flooring
262B	office flooring
262C	ancient tile
262D	exquisite rug
262E	sandlot
262F	Jingle carpet
2630	daisy meadow
2631	sidewalk
2632	mosaic tile
2633	parquet floor
2634	basement floor
2635	chessboard rug
2636	kiddie carpet
2637	shanty mat
2638	concrete floor
2639	Saharah's desert
263A	tartan rug
263B	palace tile
263C	tropical floor
263D	playroom rug
263E	kitschy tile
263F	diner tile
2700	chic wall
2701	classic wall
2702	parlor wall
2703	stone wall
2704	blue-trim wall
2705	plaster wall
2706	classroom wall
2707	lovely wall
2708	exotic wall
2709	mortar wall
270A	gold screen wall
270B	tea room wall
270C	citrus wall
270D	cabin wall
270E	blue tarp
270F	lunar horizon
2710	garden wall
2711	spooky wall
2712	bathhouse wall
2713	green wall
2714	blue wall
2715	regal wall
2716	ranch wall
2717	modern wall
2718	cabana wall
2719	Snowman wall
271A	worn-out mud wall
271B	music room wall
271C	plaza wall
271D	lattice wall
271E	ornate wall
271F	modern screen
2720	bamboo wall
2721	kitchen wall
2722	old brick wall
2723	stately wall
2724	imperial wall
2725	manor wall
2726	ivy wall
2727	mod wall
2728	rose wall
2729	wood paneling
272A	concrete wall
272B	office wall
272C	ancient wall
272D	exquisite wall
272E	sandlot wall
272F	Jingle wall
2730	meadow vista
2731	tree-lined wall
2732	mosaic wall
2733	arched window
2734	basement wall
2735	backgammon wall
2736	kiddie wall
2737	shanty wall
2738	industrial wall
2739	desert vista
273A	library wall
273B	floral wall
273C	tropical vista
273D	playroom wall
273E	kitschy wall
273F	groovy wall
2800	apple
2801	cherry
2802	pear
2803	peach
2804	orange
2805	mushroom
2806	candy
2807	coconut
2900	sapling
2901	cedar sapling
2902	white pansy bag
2903	purple pansy bag
2904	yellow pansy bag
2905	white cosmos bag
2906	pink cosmos bag
2907	blue cosmos bag
2908	red tulip bag
2909	white tulip bag
290A	yellow tulip bag
2A00	K.K. Chorale
2A01	K.K. March
2A02	K.K. Waltz
2A03	K.K. Swing
2A04	K.K. Jazz
2A05	K.K. Fusion
2A06	K.K. Etude
2A07	K.K. Lullaby
2A08	K.K. Aria
2A09	K.K. Samba
2A0A	K.K. Bossa
2A0B	K.K. Calypso
2A0C	K.K. Salsa
2A0D	K.K. Mambo
2A0E	K.K. Reggae
2A0F	K.K. Ska
2A10	K.K. Tango
2A11	K.K. Faire
2A12	Aloha K.K.
2A13	Lucky K.K.
2A14	K.K. Condor
2A15	K.K. Steppe
2A16	Imperial K.K.
2A17	K.K. Casbah
2A18	K.K. Safari
2A19	K.K. Folk
2A1A	K.K. Rock
2A1B	Rockin' K.K.
2A1C	K.K. Ragtime
2A1D	K.K. Gumbo
2A1E	The K. Funk
2A1F	K.K. Blues
2A20	Soulful K.K.
2A21	K.K. Soul
2A22	K.K. Cruisin'
2A23	K.K. Love Song
2A24	K.K. D & B
2A25	K.K. Technopop
2A26	DJ K.K.
2A27	Only Me
2A28	K.K. Country
2A29	Surfin' K.K.
2A2A	K.K. Ballad
2A2B	Comrade K.K.
2A2C	K.K. Lament
2A2D	Go K.K. Rider!
2A2E	K.K. Dirge
2A2F	K.K. Western
2A30	Mr. K.K.
2A31	Café K.K.
2A32	K.K. Parade
2A33	Señor K.K.
2A34	K.K. Song
2A35	I Love You
2A36	Two Days Ago
2B00	college rule
2B01	school pad
2B02	organizer
2B03	diary
2B04	journal
2B05	pink diary
2B06	captain's log
2B07	blue diary
2B08	french notebook
2B09	scroll
2B0A	pink plaid pad
2B0B	blue polka pad
2B0C	green plaid pad
2B0D	red polka pad
2B0E	yellow plaid pad
2B0F	calligraphy pad
2C00	January ticket (1)
2C01	January ticket (2)
2C02	January ticket (3)
2C03	January ticket (4)
2C04	January ticket (5)
2C05	January ticket (1) (2)
2C06	January ticket (1) (3)
2C07	January ticket (1) (4)
2C08	February ticket (1)
2C09	February ticket (2)
2C0A	February ticket (3)
2C0B	February ticket (4)
2C0C	February ticket (5)
2C0D	February ticket (1) (2)
2C0E	February ticket (1) (3)
2C0F	February ticket (1) (4)
2C10	March ticket (1)
2C11	March ticket (2)
2C12	March ticket (3)
2C13	March ticket (4)
2C14	March ticket (5)
2C15	March ticket (1) (2)
2C16	March ticket (1) (3)
2C17	March ticket (1) (4)
2C18	April ticket (1)
2C19	April ticket (2)
2C1A	April ticket (3)
2C1B	April ticket (4)
2C1C	April ticket (5)
2C1D	April ticket (1) (2)
2C1E	April ticket (1) (3)
2C1F	April ticket (1) (4)
2C20	May ticket (1)
2C21	May ticket (2)
2C22	May ticket (3)
2C23	May ticket (4)
2C24	May ticket (5)
2C25	May ticket (1) (2)
2C26	May ticket (1) (3)
2C27	May ticket (1) (4)
2C28	June ticket (1)
2C29	June ticket (2)
2C2A	June ticket (3)
2C2B	June ticket (4)
2C2C	June ticket (5)
2C2D	June ticket (1) (2)
2C2E	June ticket (1) (3)
2C2F	June ticket (1) (4)
2C30	July ticket (1)
2C31	July ticket (2)
2C32	July ticket (3)
2C33	July ticket (4)
2C34	July ticket (5)
2C35	July ticket (1) (2)
2C36	July ticket (1) (3)
2C37	July ticket (1) (4)
2C38	August ticket (1)
2C39	August ticket (2)
2C3A	August ticket (3)
2C3B	August ticket (4)
2C3C	August ticket (5)
2C3D	August ticket (1) (2)
2C3E	August ticket (1) (3)
2C3F	August ticket (1) (4)
2C40	September ticket (1)
2C41	September ticket (2)
2C42	September ticket (3)
2C43	September ticket (4)
2C44	September ticket (5)
2C45	September ticket (1) (2)
2C46	September ticket (1) (3)
2C47	September ticket (1) (4)
2C48	October ticket (1)
2C49	October ticket (2)
2C4A	October ticket (3)
2C4B	October ticket (4)
2C4C	October ticket (5)
2C4D	October ticket (1) (2)
2C4E	October ticket (1) (3)
2C4F	October ticket (1) (4)
2C50	November ticket (1)
2C51	November ticket (2)
2C52	November ticket (3)
2C53	November ticket (4)
2C54	November ticket (5)
2C55	November ticket (1) (2)
2C56	November ticket (1) (3)
2C57	November ticket (1) (4)
2C58	December ticket (1)
2C59	December ticket (2)
2C5A	December ticket (3)
2C5B	December ticket (4)
2C5C	December ticket (5)
2C5D	December ticket (1) (2)
2C5E	December ticket (1) (3)
2C5F	December ticket (1) (4)
2D00	common butterfly
2D01	yellow butterfly
2D02	tiger butterfly
2D03	purple butterfly
2D04	robust cicada
2D05	walker cicada
2D06	evening cicada
2D07	brown cicada
2D08	bee
2D09	common dragonfly
2D0A	red dragonfly
2D0B	darner dragonfly
2D0C	banded dragonfly
2D0D	long locust
2D0E	migratory locust
2D0F	cricket
2D10	grasshopper
2D11	bell cricket
2D12	pine cricket
2D13	drone beetle
2D14	dynastid beetle
2D15	flat stag beetle
2D16	jewel beetle
2D17	longhorn beetle
2D18	ladybug
2D19	spotted ladybug
2D1A	mantis
2D1B	firefly
2D1C	cockroach
2D1D	saw stag beetle
2D1E	mountain beetle
2D1F	giant beetle
2D20	snail
2D21	mole cricket
2D22	pond skater
2D23	bagworm
2D24	pill bug
2D25	spider
2D26	ant
2D27	mosquito
2D28	spirit (1)
2D29	spirit (2)
2D2A	spirit (3)
2D2B	spirit (4)
2D2C	spirit (5)
2E00	grab bag (1)
2E01	grab bag (2)
2F00	10 turnips
2F01	50 turnips
2F02	100 turnips
2F03	spoiled turnips
3000	purple balloon
3004	Bunny P. balloon
3008	Bunny B. balloon
300C	Bunny O. balloon
3010	Lady Liberty
3014	Arc De Triomphe
3018	stone coin
301C	mermaid statue
3020	post model
3024	house model
3028	manor model
302C	police model
3030	museum model
3034	plate armor
3038	moon dumpling
303C	bean set
3040	osechi
3044	lovely phone
3048	market model
304C	Katrina's tent
3050	Chinese lion
3054	tanabata palm
3058	spring medal
305C	fall medal
3060	shop model
3064	compass
3068	long-life noodle
306C	bass boat
3070	lighthouse model
3074	life ring
3078	tree model
307C	pink tree model
3080	weed model
3084	tailor model
3088	dump model
308C	mortar ball
3090	Snowman
3094	miniature car
3098	big catch flag
309C	moon
30A0	locomotive model
30A4	dolly
30A8	station model 1
30AC	station model 2
30B0	station model 3
30B4	station model 4
30B8	station model 5
30BC	station model 6
30C0	station model 7
30C4	station model 8
30C8	station model 9
30CC	station model 10
30D0	station model 11
30D4	station model 12
30D8	station model 13
30DC	station model 14
30E0	station model 15
30E4	well model
30E8	grass model
30EC	track model
30F0	dirt model
30F4	train car model
30F8	orange box
30FC	college rule
3100	school pad
3104	organizer
3108	diary
310C	journal
3110	pink diary
3114	captain's log
3118	blue diary
311C	french notebook
3120	scroll
3124	pink plaid pad
3128	blue polka pad
312C	green plaid pad
3130	red polka pad
3134	yellow plaid pad
3138	calligraphy pad
313C	golden net
3140	golden axe
3144	golden shovel
3148	golden rod
314C	bluebell fan
3150	plum fan
3154	bamboo fan
3158	cloud fan
315C	maple fan
3160	fan fan
3164	flower fan
3168	leaf fan
316C	yellow pinwheel
3170	red pinwheel
3174	tiger pinwheel
3178	green pinwheel
317C	pink pinwheel
3180	gold pinwheel
3184	flower pinwheel
3188	fancy pinwheel
318C	bug net
3190	axe
3194	shovel
3198	fishing rod
319C	crab stew
31A0	fireplace
31A4	igloo model
31A8	snowy tree model
31AC	snowcone machine
31B0	treasure chest
31B4	beach chair
31B8	beach table
31BC	hibachi grill
31C0	surfboard
31C4	snowboard
31C8	wave breaker
31CC	ukulele
31D0	Diver Dan
31D4	snow bunny
31D8	dreadful painting
31DC	novel painting
31E0	sleigh
31E4	Nintendo bench
31E8	G logo
31EC	DUMMY
